D,T,O,H,L,C
2017/1/4,1326,1987.12,1987.21,1986.79,1986.8
2017/1/4,1327,1986.82,1987.02,1986.77,1986.96
2017/1/4,1328,1986.92,1987.2,1986.75,1986.99
2017/1/4,1329,1986.96,1987.12,1986.86,1986.99
2017/1/4,1330,1986.99,1987.17,1986.91,1987.11
2017/1/4,1331,1986.99,1987.22,1986.96,1987.21
2017/1/4,1332,1987.17,1987.2,1986.89,1986.97
2017/1/4,1333,1986.9,1987.02,1986.45,1986.53
2017/1/4,1334,1986.41,1986.43,1986,1986.26
2017/1/4,1335,1986.24,1986.24,1985.61,1985.61
2017/1/4,1336,1985.69,1986.09,1985.47,1985.66
2017/1/4,1337,1985.6,1985.6,1984.91,1985.13
2017/1/4,1338,1985.08,1985.16,1984.78,1984.86
2017/1/4,1339,1984.78,1984.96,1984.33,1984.72
2017/1/4,1340,1984.78,1984.9,1984.28,1984.73
2017/1/4,1341,1984.69,1985.12,1984.47,1985.12
2017/1/4,1342,1984.97,1985.44,1984.97,1985.44
2017/1/4,1343,1985.46,1985.55,1985.2,1985.55
2017/1/4,1344,1985.39,1985.75,1985.37,1985.62
2017/1/4,1345,1985.61,1986.11,1985.61,1986.11
2017/1/4,1346,1986.13,1986.23,1985.85,1986.12
2017/1/4,1347,1986.03,1986.38,1986.03,1986.17
2017/1/4,1348,1986.23,1986.92,1986.23,1986.92
2017/1/4,1349,1986.97,1987.72,1986.87,1987.69
2017/1/4,1350,1987.79,1988.82,1987.79,1988.64
2017/1/4,1351,1988.88,1989.41,1988.88,1989.41
2017/1/4,1352,1989.16,1989.95,1989.13,1989.95
2017/1/4,1353,1989.82,1990.09,1989.31,1989.43
2017/1/4,1354,1989.35,1989.88,1989.34,1989.39
2017/1/4,1355,1989.48,1989.48,1989.02,1989.19
2017/1/4,1356,1989.02,1989.23,1988.89,1989.07
2017/1/4,1357,1989.1,1989.35,1988.92,1989.3
2017/1/4,1358,1989.33,1989.69,1989.28,1989.63
2017/1/4,1359,1989.74,1990.19,1989.74,1990.19
2017/1/4,1400,1990.18,1990.44,1989.99,1990.36
2017/1/4,1401,1990.53,1990.53,1990.27,1990.39
2017/1/4,1402,1990.53,1990.53,1990.15,1990.21
